targets	p_val_ttest_dmsoA_dmso	p_val_ttest_dmsoB_dmso	p_val_ttest_drug1A_drug	p_val_ttest_drug1B_drug	p_val_wil_dmsoA_dmso	p_val_wil_dmsoB_dmso	p_val_wil_drug1A_drug	p_val_wil_drug1B_drug	fdr_vals_ttest_dmsoA_dmso	fdr_vals_ttest_dmsoB_dmso	fdr_vals_ttest_drug1A_drug	fdr_vals_ttest_drug1B_drug	fdr_vals_wil_dmsoA_dmso	fdr_vals_wil_dmsoB_dmso	fdr_vals_wil_drug1A_drug	fdr_vals_wil_drug1B_drug
SPRED2_SPRED1	0.0016241692795697933	0.13663475320258256	0.026866333219174036	6.116448735076728e-4	8.72247968501292e-5	0.1364435663233805	0.0040992416510062975	1.33432495163255e-4	0.028437372487020825	0.3562880906295191	0.14835486935224126	0.022499793561175107	0.0027201459479283415	0.3136983779309864	0.03835689155619476	0.004433402258650085
SPRR1B_SPRR1A	0.30690675876080015	0.16599711185169935	0.25802060689282624	0.0031337017353621644	0.438235094100802	0.17406300914099648	0.24712643436001727	9.954907920198541e-4	0.5478578189317577	0.3997519859358698	0.522226018795218	0.05399940377818968	0.644966804981713	0.36606910602473	0.47638620760124295	0.015700290357292607
SPRR2B_SPRR2A	0.11618389859852205	0.44140557987116646	0.9237429389870504	0.012468035707371096	0.03496888766286429	0.6446674769807508	0.9164084699852033	0.0041609575954019064	0.34289230818474986	0.6494967818104307	0.9743277017309098	0.09326320136895548	0.14582167729858386	0.7914272959358442	0.9641478284829004	0.03968320669688855
SPRY2_SPRY1	0.15862328411511056	0.6685752148121367	0.6852455457219191	0.16562497443405674	0.21206401981662215	0.6846085341358337	0.7063074651359134	0.28383931523891726	0.3893758728028793	0.8296776762126516	0.8433648490398074	0.38924520733847995	0.42399807688768076	0.8180357194430495	0.8371653499309444	0.49384205185149455
SPTAN1_SPTA1	0.46117496989967266	0.003071182111726003	0.9278641354017866	0.19444232217843274	0.7211888557573511	0.01786899983675211	0.8654636938824478	0.1741493805360366	0.6730145509397616	0.03989558583637684	0.9743277017309098	0.42341562757671397	0.8538212890000824	0.09156751160126703	0.931481300625832	0.3721449418093728
SPTLC3_SPTLC2	0.9543485606224177	0.26640298630363	0.022033397195597573	0.023680405605798746	0.9720906814193206	0.12763529798008585	0.02751480785133215	0.001245372534202441	0.9839629804215118	0.49186400312873996	0.13509217443572286	0.13092102767148794	0.9931687501480219	0.3009290179775276	0.12429935125821101	0.018590343626500208
SRGAP2C_SRGAP2B	0.07580585628463732	0.06918941744036182	0.0024786345799926645	0.6396340527524624	0.0828767267789432	0.12192391082967831	0.003075448025609958	0.5233637081650269	0.27017312101445135	0.24831045283474798	0.045589171739150794	0.7861850529057713	0.24786463652704707	0.29137268713357	0.03232358639161486	0.7055819625785047
GCA_SRI	0.03470582074612339	1.6007636446140695e-4	0.5207792844848834	0.9389919044102328	0.04612824235021742	1.5410110546811439e-6	0.42838274705022833	0.9619485094481149	0.17609357324387728	0.008243932769762458	0.7345734062329968	0.9703653530902303	0.1781125892893219	3.1744827726431563e-4	0.6370506867463084	0.9826505317661469
SRSF9_SRSF1	0.26660413236328734	0.3995302051211823	0.6336692612866579	0.3329440307977355	0.30415676770772376	0.8938750300121004	0.4172326164393332	0.6784131179855839	0.5190968928812589	0.6123751655875265	0.8189201243729708	0.5669154208035233	0.5256400515754286	0.9395031370166133	0.6310564012048624	0.8097661933757175
SSTR4_SSTR1	0.8985441813431465	2.7799713697395846e-6	0.6202472675601751	0.4995743165744818	0.6956418560726356	7.196733019820319e-6	0.791789640977451	0.5953111402864495	0.952981191037075	9.54456836943924e-4	0.8086768171987093	0.7058457422108592	0.834122365255896	5.702026931088406e-4	0.8919875663714115	0.7626498438993072
ST7L_ST7	0.06603555167661253	0.3322666265541574	0.1157982487054631	0.4404216980165331	0.04897912117954979	0.2837863391967674	0.10142294492002954	0.3383897007195878	0.2509838310956122	0.5449595945076148	0.3355984276926444	0.654595020140013	0.18547240740785398	0.4791802120863449	0.27347024415610055	0.5445959245955866
ST8SIA4_ST8SIA2	0.05953767165584333	4.5524729552244965e-4	0.13074801253002688	0.01244659576106904	0.04971450980656054	8.86070067403244e-6	0.19113982783667305	0.003996768880420612	0.23228712805120694	0.014353408984853495	0.36299313451732534	0.09326320136895548	0.18688301131663268	6.518944067323867e-4	0.4144716266774174	0.03847356959657225
STAG2_STAG1	0.23772950975075177	0.9633313430650413	0.23542426292253807	0.5473151928353592	0.36653205120228494	0.47058557057319544	0.1477922730675107	0.4444312641605289	0.4899878780094633	0.9900414425099022	0.505181230854613	0.7446957049146896	0.5841420537386267	0.6612593965762501	0.3525179452803817	0.6411263334528639
STAM2_STAM	0.12364574723990752	0.12351051637678719	0.034036720525244625	0.02530440723667835	0.09752121658008882	0.026589224813146576	0.009058219305034958	0.003366359406162194	0.3561821447916752	0.3419780426561581	0.16455145578235103	0.13545600020934795	0.2757226916039602	0.11832463065969252	0.06479142975129172	0.03430506326120824
STAMBPL1_STAMBP	0.4970834895665057	0.6991416060211538	0.8731549995035015	0.013270711306019718	0.5821556204316254	0.7673880990872292	0.26425934888664315	0.006172550521610118	0.6966773748445478	0.8515803671700953	0.9527008998819986	0.09625938482535429	0.759013024107056	0.8669333377673274	0.49331379986638485	0.04952890209032743
STAT5B_STAT5A	0.2690364291436236	0.08459218232640447	0.8825423904557208	0.485887575778551	0.3481064901915468	0.13578102408158457	0.35799882399973004	0.791789640977451	0.520878800785587	0.2766030088768146	0.9565519073612055	0.693163716138376	0.5691264839639575	0.3135750107713724	0.5918760653607094	0.8871853571427705
STEAP1B_STEAP1	0.048993224053689756	0.1353287166549908	0.05076260186070546	0.24908391980757502	0.02518750399730652	0.09611289053790115	0.06692921904757443	0.19371417330084778	0.21026258656375188	0.35467831591511584	0.21428475375625666	0.4858786214198911	0.12179872824988598	0.2555692423221059	0.2161037480219488	0.3958841240076849
STEAP3_STEAP2	0.0407220730112109	0.017612048344688314	0.08054861236034382	0.12200198011494684	0.01577615449986072	0.00517839546689438	0.020762531899156368	0.03180241076786107	0.18893574415111364	0.11703490190341267	0.26789953399720107	0.31652906679696535	0.09027466186031412	0.04134687853411791	0.10659016429461635	0.12696311275541436
OXSR1_STK39	0.002015924966772467	0.14083263212981736	0.16551338516320072	0.017031847831920993	3.306840550558543e-5	0.09752121658008882	0.021758052290780695	0.007839782090606498	0.028773933591545744	0.3615205418864623	0.4117966746711615	0.11103040042328242	0.0014479655927024221	0.2555692423221059	0.10659016429461635	0.05686602502341333
STK3_STK4	0.030527909067810284	0.0782100770803981	0.1306886505940518	0.7479380103173862	0.018553897404505304	0.014650463963299255	0.2031130084236175	0.4213849825874785	0.1627425242519816	0.2667429781218875	0.36299313451732534	0.8508433404418713	0.10058165435073929	0.07900511980208498	0.42695183403331843	0.6166512214003372
STOML3_STOM	0.7525399089018848	0.2808330148872095	0.05212081172991421	0.894531016621127	0.6663632703631237	0.10867692577148008	0.05550484125915989	0.6551051933773209	0.8744998747361832	0.5047708074938504	0.2173458950680633	0.9449917406356522	0.8245950614359061	0.2710424088215879	0.19397391450459464	0.7966450403525862
STRIP2_STRIP1	0.2215433001057115	0.033327422540686436	0.04456069170578182	0.016665298695537942	0.22781096450055482	0.01501147695309054	0.01788646270587085	0.008680458405077971	0.47262846323642177	0.16037341395676047	0.196143215628014	0.10933285131467567	0.4435638817307589	0.08023015602368846	0.10022928696434998	0.060411298359664266
STX10_STX6	0.6116284735267827	0.7019700889110005	0.13622992467358697	0.6180004261766613	0.7757724959013849	0.32852780039694124	0.027094355784107297	0.2591031395128675	0.7721489427891168	0.8536354091833891	0.3723589663945952	0.777923235381776	0.8864168730051845	0.5201370345256714	0.12348312591871909	0.46656684212981386
STX12_STX7	0.01143086503436064	0.6092508433813246	1.9041309059367515e-4	0.23220674428829774	0.006160959440735775	0.7719469499052662	6.338084223705866e-4	0.08569372469156532	0.0912696975611741	0.7853922011048365	0.008315437500234044	0.4644134885765955	0.04919215677486704	0.8680271871733242	0.013980686115013845	0.2401305788929751
STXBP2_STXBP1	0.3511428211716583	0.9372567520500452	0.40892364516680335	0.23282654878556247	0.5562600714363666	0.8163969108009826	0.6584173132218654	0.37487473769324886	0.5862391765034308	0.9790815969691141	0.6543544811717523	0.46461095251446455	0.7399238767708542	0.901274188772789	0.8127150788168429	0.5762999698866363
STXBP5L_STXBP5	0.28461615436543675	0.8154416028294112	0.8052703950648445	0.01625239150490675	0.19549181422777026	0.535118668892763	0.8163969108009826	0.009895979366291762	0.5320410871078037	0.9159267730799275	0.91360644914131806	0.10933285131467567	0.40630275938476906	0.7195459908088067	0.9022412211641762	0.06330968166012742
SULF2_SULF1	3.8326507644977596e-4	0.013749399850429824	0.040239004447633536	0.1871775677153539	1.5483404843377296e-4	0.01327362048348259	0.07832439311617602	0.47151750489575633	0.014620852916417378	0.0989091095544954	0.183480548714609	0.4128327510638427	0.003966521715345897	0.07277090772584596	0.23727683796959206	0.6637729397853325
SUV39H2_SUV39H1	0.05364140223629228	0.9771635576057514	0.11891293138715645	0.0830824158474465	0.004521068111718345	0.49177112060288025	0.08816796224249274	0.06504171261895382	0.22278485606202036	0.9903556407161703	0.34117080592972465	0.26089904976484724	0.03848512524851153	0.6789869359530384	0.2548586118230659	0.20239566162393485
