targets	p_val_ttest_Day05_RepA_early	p_val_ttest_Day22_RepA_late	p_val_ttest_Day22_RepB_late	p_val_ttest_Day22_RepC_late	p_val_wil_Day05_RepA_early	p_val_wil_Day22_RepA_late	p_val_wil_Day22_RepB_late	p_val_wil_Day22_RepC_late	fdr_vals_ttest_Day05_RepA_early	fdr_vals_ttest_Day22_RepA_late	fdr_vals_ttest_Day22_RepB_late	fdr_vals_ttest_Day22_RepC_late	fdr_vals_wil_Day05_RepA_early	fdr_vals_wil_Day22_RepA_late	fdr_vals_wil_Day22_RepB_late	fdr_vals_wil_Day22_RepC_late
NBPF3_NBPF15	0.020553884420895657	0.13260834900444535	0.40121678279629636	0.4462502630744501	0.16584206285708983	0.08325388353736972	0.2986808931444645	0.2986808931444645	0.13738024162391407	0.29628329604030085	0.6095181213572054	0.6253575115192974	0.3899938921068551	0.2024590375116331	0.4898747132783414	0.46968140448671514
NCK2_NCK1	0.8659923268718894	0.003988703655506022	0.74232193405863	0.7366599702492185	0.8371720968453008	6.739515708095313e-4	0.6264432835532409	0.7813029108378305	0.9461256741267475	0.037691419863955994	0.8808658894935356	0.8544591997260079	0.9434215095740262	0.007799664246447384	0.7869607908099118	0.8687019308626276
NCKAP1L_NCKAP1	0.02230060623352678	0.0025642932206475454	0.7689000284732062	0.010430127700313851	0.025185179760840535	1.6524417707993445e-4	0.6011907506300133	0.006934810017135613	0.13738024162391407	0.029024417772164527	0.8958903046690072	0.05624623838389144	0.1417526511129276	0.003273105815237163	0.7673190497508224	0.031328308410744216
NDEL1_NDE1	0.03595239051016525	3.121972314153801e-8	0.0030641471386093195	0.0035573455743668123	0.024128423055879495	6.044365572248563e-6	2.3009176058133818e-4	6.745039388852503e-4	0.1758161844653006	3.2156314835784154e-5	0.025869438957111468	0.02885091292596706	0.13734810911557055	3.821176705875667e-4	0.0032850206499951064	0.006203027295105426
NDUFA4L2_NDUFA4	0.7529243715313408	0.08928359422887482	0.02608726620514385	0.0038145954429864687	0.7432150290137748	0.06935411786522723	0.07033536702244908	0.00936248433665807	0.8913932214681392	0.23164257444771047	0.10862191411477659	0.029557185831121175	0.881925668069341	0.17948427487734686	0.18316199676286607	0.03984859035850336
NECAP2_NECAP1	0.4367094926484335	0.6318605565171723	0.03813984939015623	1.1522179524581955e-5	0.8881752850650121	0.38489127102157283	0.01617904547446685	3.917936449313974e-7	0.6658824616738029	0.8024862801636098	0.13546222369607214	9.129111469476472e-4	0.9690895589162739	0.5733950366756907	0.06264818360413855	3.362895452327827e-5
NEK7_NEK6	0.18884019188158732	0.997114427148087	0.712246263980415	0.7713728518893717	0.26146962483666253	0.7260742466344468	0.4344759373386376	0.3455497435724462	0.4139053513030394	0.999054338484951	0.8630748845880323	0.8775516527431165	0.5026002001162362	0.8450355638796385	0.631485932028436	0.5220962462508384
NELL2_NELL1	0.8285264432541636	0.6961975284964219	0.008258773627875799	0.0025396516915717877	0.7747966272477889	0.6758334197165307	0.0010089366069372912	7.121486884148877e-4	0.9279923485044245	0.8410056622666828	0.05124419781151851	0.02351498990740437	0.907895934090128	0.8134858298758172	0.008732812648280755	0.006434325869011704
DCC_NEO1	0.16439876622447938	0.5725036805178088	0.949656320416578	0.031955640705079384	0.1502683544461669	0.3928294464867005	0.9453844269504184	0.00839882528089302	0.3889670916760041	0.7521413149659987	0.9768944626143123	0.11713277553819133	0.3747612713790603	0.5805083642486392	0.9722330214406996	0.03677556078310221
ARHGEF3_NET1	0.036217704922554946	0.009784748953419017	0.8880090680772206	0.8581049597256281	0.03608252725069414	0.01940179896113772	0.946747301461186	0.17042918869789808	0.17587543399885308	0.06378665456975688	0.9516275835151768	0.9286425054526811	0.17126729524523027	0.07484589112349008	0.9722330214406996	0.32689397459745817
NETO2_NETO1	0.7185547917282544	0.9262908702342418	0.5526519024588658	0.6639637546857606	0.6676488391098305	0.5821556204316254	0.14085776016452334	0.6401107775697623	0.869717559782201	0.9688857652910653	0.7421531415027793	0.7998939758665848	0.8339234729891015	0.744869924278974	0.29250704227713514	0.7793310885305618
NHLH2_NHLH1	0.3063230892418185	0.038178474344045525	0.030931993833276744	4.092747043522993e-5	0.17242129181080593	0.02220572074644356	0.10142294492002954	1.456818829322273e-5	0.5432935315606318	0.1429779737190316	0.12160287652013377	0.001785024160640171	0.3999863301016444	0.08257000855175765	0.2362747104951011	4.1681205394498365e-4
NIPAL1_NIPA2	0.11256686994050288	0.5856083154998657	0.13710727605247577	0.0014641446101708987	0.056531806933258766	0.1565802486448999	0.25316062809909246	0.0012542274505344278	0.3167865465538742	0.7644823383585065	0.30969406652203957	0.01713714714177302	0.21097014906252368	0.3077817864584864	0.43972250749083513	0.00941089894238311
NIPSNAP2_NIPSNAP1	0.8121635014949824	0.44852026925688804	0.34389675367679196	0.5797372087772834	0.7482958658053055	0.8484549747573208	0.2031130084236175	0.1833799250561708	0.9212867913434272	0.6407432417955543	0.5512721116334224	0.7381331815134682	0.8869270843431702	0.9179712436975214	0.3730833200991138	0.3421763094345216
NIPSNAP3B_NIPSNAP3A	0.7078533856815648	7.840782725961036e-4	0.0019096444867833624	0.3199789652330213	0.5062172439622736	1.4424004439095157e-4	3.6030715060428796e-5	0.2021645423033187	0.862208612642568	0.016152012415479734	0.021418947943535646	0.509394643261224	0.7130176928779706	0.0030951509525558355	9.277909128060415e-4	0.3621382236042057
NKAPL_NKAP	0.032639474661039156	0.07062656581294768	0.11889087798852431	0.057422234542808086	0.06023061955884639	0.10711965812025577	0.15778335951333355	0.0928810677081393	0.16818324959484082	0.20666296246402305	0.2846739080956261	0.16995661373302393	0.21953683390500828	0.23706175556024608	0.31073969464385004	0.21644230710267756
NKIRAS2_NKIRAS1	0.5670040485750384	0.4248802040775088	0.5836444581635298	0.14178382058385722	0.5821556204316254	0.46251498791357243	0.46251498791357243	0.16072667671491486	0.7584599610808954	0.6225129590324809	0.7628855227264413	0.3063345717040618	0.769730794665692	0.6469086602602403	0.6534848251728116	0.31593220804649297
NLRP7_NLRP2	0.996029023468075	0.675063217442422	0.23226153458306298	0.20408332354286585	0.5393143345772026	0.23800347791416807	0.2615472886041773	0.25352679121075866	0.9969969817027379	0.8269040131187049	0.43585711198412863	0.3864077633256467	0.7386885167746259	0.40925472829982157	0.4482591713027945	0.4225446520179311
NMT2_NMT1	0.017501128671557772	0.26981577134805684	0.7472837524607525	0.618614172087848	0.07834488913978851	0.2399620941480181	0.5797334828140016	0.48527390787157476	0.13342060435021383	0.4602559123654261	0.8817155037339429	0.7679265847848653	0.2506063224036713	0.4108777566012366	0.7501576473598263	0.6516440039045374
NOL4L_NOL4	0.06180207787270857	0.5386766757577803	0.28550646396202284	0.58847574807451	0.04408293475062468	0.9063203248932749	0.10275685144288879	0.28093847626814744	0.2331354297467869	0.722443979206398	0.4901194298014725	0.7455473807094037	0.18892913530656688	0.9465059304616597	0.2373084237358194	0.4549789788619369
NOVA2_NOVA1	0.11910751475628836	0.12226249730255516	0.987307719858849	0.10148028797372965	0.048252884839272175	0.19113982783667305	0.9012818114125772	0.25885452856626723	0.326219648250402	0.2804685350147702	0.9960107262043237	0.24886832526890845	0.19567114718287534	0.3547279687779698	0.9472655773009739	0.42934003932891346
NPBWR2_NPBWR1	0.2054776554872937	0.1648127638200523	0.35982288944122387	4.940711258747025e-4	0.16178896969599352	0.45175447466135865	0.4125687510067528	9.113809850280883e-4	0.42830636462363525	0.34238218278528554	0.5694552328574869	0.008927951923700763	0.383969213794639	0.6409188827840212	0.613986916796512	0.00788842365192379
NPR2_NPR1	0.029146314471857844	0.6019984219939359	0.9966114295445363	0.47844656902184535	0.02866348722151211	0.8825047149921356	0.7868861273577468	0.45555657920793663	0.15724338870383014	0.7778208423838368	0.9985503622868408	0.6544488261520593	0.14910803958665392	0.9354321438130148	0.8886981482220165	0.6247979714835882
NPTX2_NPTX1	0.014200458488691956	0.002343128585884923	2.229776160347335e-4	4.3205264045386577e-4	0.0196862811656294	0.004554828933207387	2.3282185189285704e-4	1.9078372921871303e-4	0.1179554213173606	0.027740487855878973	0.0058888960132250125	0.008134048907569595	0.12363944878413585	0.028782047860144835	0.0032850206499951064	0.002456920504650003
NR1H3_NR1H2	0.08278886157633487	0.8887435624222597	0.19624035557476127	0.30474415794469617	0.037226262061936514	0.9265100947557585	0.2781100789927983	0.29831821522036195	0.2777606756469867	0.9539335186165231	0.3955529672054875	0.49275742964370023	0.17412987924253812	0.9608428252458432	0.46806108065781415	0.46968140448671514
NR2C2_NR2C1	0.3160189861550391	0.23299052174748064	0.048588950060669586	0.10723359756683172	0.3830528607386434	0.23225304916500067	0.0317588408191018	0.07805477212259919	0.5545753052874615	0.4254968748225267	0.15427937054188648	0.2583278301324747	0.6135994503278425	0.40070459068668457	0.10048000948127885	0.18872397954525155
NR5A2_NR5A1	0.08331168806472854	0.07263497992594929	0.010983882799039568	0.2727304219704245	0.7288300648360071	0.2021645423033187	0.001847078534947542	0.4395941576650053	0.2786072685281506	0.20781674812146603	0.061485865668536706	0.4597583218159366	0.8749358587192161	0.36467509382209856	0.013492843198552967	0.6085779333265531
NRBP2_NRBP1	0.005978056177608546	0.0889614421511261	0.34245085915491047	0.36740656597991117	0.016053711487378775	0.054323833206201023	0.3257076533137693	0.11105568757968703	0.07029213344283036	0.23164257444771047	0.5512721116334224	0.5573324933126782	0.1117251542702712	0.15629482738096942	0.5193171562123565	0.24599431872489813
NSG2_NSG1	7.00627926938225e-4	0.02294737164030644	0.9935750281277337	0.01864981268698378	0.0010411342274417108	0.011247461703900046	0.535118668892763	0.006054175860917916	0.02327892789504425	0.10321306894984993	0.997448614982033	0.08229245223665918	0.0255325774824991	0.0528990207991646	0.7139536644553705	0.02821629473640477
NT5DC3_NT5DC2	0.9440557060349906	0.015241581672389488	0.9568650338119921	0.5108567554882097	0.9226384404951345	0.017258415763507583	0.7354043149633516	0.8308249499458187	0.985101895898365	0.08105368768568161	0.9815929628967128	0.6815537400958445	0.9804088288392299	0.06916796979148954	0.862718046027622	0.9003026712970124
NT5C_NT5M	0.0017489176905858155	0.08650629108981318	0.42762994717607905	0.13364819944150927	0.005353834929209086	0.029331057778538783	0.7471614554770543	0.15627404917795854	0.03659333680126393	0.23023638197030383	0.6334024429080761	0.30050657745539316	0.06604125313353164	0.10163633365763305	0.8705889317043138	0.31133901480328297
NTN3_NTN1	0.5262353800296662	0.6176593295916228	0.6946148760234236	0.21085804672120317	0.8312503304887949	0.8561379611717339	0.7673880990872292	0.5953111402864495	0.7255989845121235	0.7902970304091571	0.8514492506113766	0.39325833623620854	0.9391330378991488	0.9214442006341546	0.8762857450774346	0.7441389253580619
NTNG2_NTNG1	0.1712576336660683	0.002268000476771897	0.1790733777837303	0.024676255019012563	0.2455704588503151	0.003085137868713449	0.15342471533159824	0.0036237571290698286	0.39606787112573183	0.027740487855878973	0.3711178654270467	0.09928336980305837	0.4932739558073309	0.02210651524643906	0.3086473765459886	0.020851786832077782
NUCB2_NUCB1	0.15284854268403686	0.11616571901071586	0.2574287656945424	0.10759479526876857	0.14074478799238296	0.07728702064469097	0.04639715242989344	0.18803220723302347	0.3721843947152671	0.27193338768417574	0.46274280744394186	0.2583278301324747	0.35794353489420855	0.19381832466291857	0.1353797932090375	0.34770767226214394
NUMBL_NUMB	1.9595807936411333e-4	1.428269693763922e-5	0.9044850680337302	0.053103790891184374	0.002385927913212328	1.4424004439095157e-4	0.6815905545464371	0.026201033291500923	0.011213156763613152	0.0018388972307210496	0.9597567644185816	0.160873248876235	0.04311413597559119	0.0030951509525558355	0.8298324718473171	0.08513269492191151
